machine_id,cycle,temperature,vibration,pressure,rotational_speed,failure,rul
1,0,60.6,0.483,98.64,1498.6,0,4000
1,1,59.88,0.4844,99.45,1500.3,0,3999
1,2,60.88,0.4332,98.93,1501.8,0,3998
1,3,61.98,0.4943,100.4,1511.3,0,3997
1,4,59.92,0.5392,102.63,1494.9,0,3996
1,5,59.97,0.4614,98.76,1494.5,0,3995
1,6,62.19,0.5567,102.36,1515.9,0,3994
1,7,61.27,0.5367,98.86,1499.5,0,3993
1,8,59.84,0.4901,98.78,1492.1,0,3992
1,9,61.1,0.5161,102.17,1500.5,0,3991
1,10,59.94,0.5879,102.44,1502.6,0,3990
1,11,59.99,0.5555,102.36,1522.0,0,3989
1,12,60.89,0.5286,98.08,1516.3,0,3988
1,13,58.35,0.5208,99.84,1519.1,0,3987
1,14,58.63,0.5353,102.48,1516.4,0,3986
1,15,60.07,0.5136,100.97,1518.2,0,3985
1,16,59.58,0.4517,98.8,1502.4,0,3984
1,17,61.22,0.6193,101.92,1507.8,0,3983
1,18,59.81,0.5454,99.63,1500.4,0,3982
1,19,59.25,0.5566,104.7,1508.7,0,3981
1,20,62.75,0.5398,104.26,1518.1,0,3980
1,21,60.77,0.514,102.43,1513.1,0,3979
1,22,61.17,0.5371,104.0,1525.4,0,3978
1,23,59.43,0.4817,101.46,1501.3,0,3977
1,24,60.54,0.6377,102.92,1518.2,0,3976
1,25,61.37,0.4981,104.39,1501.1,0,3975
1,26,59.9,0.5069,101.98,1515.0,0,3974
1,27,61.78,0.5312,101.03,1521.9,0,3973
1,28,60.66,0.6008,98.18,1512.7,0,3972
1,29,61.08,0.5502,101.48,1520.8,0,3971
1,30,60.76,0.5004,103.34,1506.1,0,3970
1,31,63.75,0.6002,103.63,1499.4,0,3969
1,32,61.56,0.5792,102.8,1522.0,0,3968
1,33,60.35,0.5714,100.76,1534.2,0,3967
1,34,62.65,0.5782,97.93,1507.1,0,3966
1,35,60.25,0.645,100.94,1529.6,0,3965
1,36,62.01,0.6361,101.37,1518.1,0,3964
1,37,59.46,0.5206,101.4,1504.6,0,3963
1,38,60.26,0.6123,103.3,1506.9,0,3962
1,39,62.14,0.5618,106.08,1518.6,0,3961
1,40,62.83,0.5654,102.4,1514.6,0,3960
1,41,62.2,0.4767,101.76,1505.7,0,3959
1,42,61.9,0.5363,101.72,1502.1,0,3958
1,43,61.72,0.5093,102.52,1510.7,0,3957
1,44,60.36,0.5735,100.66,1521.3,0,3956
1,45,61.31,0.5817,102.59,1519.5,0,3955
1,46,61.67,0.4543,103.29,1514.6,0,3954
1,47,63.53,0.5347,102.84,1521.8,0,3953
